Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
720,0.813460,0.814219,0.000759,3.710385,3.711144,0.000759
730,0.813470,0.814219,0.000749,3.710395,3.711144,0.000749
740,0.813481,0.814219,0.000739,3.710405,3.711144,0.000739
750,0.813490,0.814219,0.000729,3.710415,3.711144,0.000729
760,0.813500,0.814219,0.000720,3.710425,3.711144,0.000720
770,0.813509,0.814219,0.000710,3.710434,3.711144,0.000710
780,0.813518,0.814219,0.000701,3.710443,3.711144,0.000701
790,0.813527,0.814219,0.000692,3.710452,3.711144,0.000692
800,0.813536,0.814219,0.000684,3.710461,3.711144,0.000684
810,0.813544,0.814219,0.000675,3.710469,3.711144,0.000675
820,0.813553,0.814219,0.000667,3.710478,3.711144,0.000667
830,0.813561,0.814219,0.000659,3.710486,3.711144,0.000659
840,0.813568,0.814219,0.000651,3.710493,3.711144,0.000651
850,0.813576,0.814219,0.000643,3.710501,3.711144,0.000643
860,0.813584,0.814219,0.000636,3.710509,3.711144,0.000636
870,0.813591,0.814219,0.000629,3.710516,3.711144,0.000629
880,0.813598,0.814219,0.000621,3.710523,3.711144,0.000621
890,0.813605,0.814219,0.000614,3.710530,3.711144,0.000614
900,0.813612,0.814219,0.000608,3.710537,3.711144,0.000608
910,0.813619,0.814219,0.000601,3.710543,3.711144,0.000601
920,0.813625,0.814219,0.000594,3.710550,3.711144,0.000594
930,0.813631,0.814219,0.000588,3.710556,3.711144,0.000588
940,0.813638,0.814219,0.000582,3.710563,3.711144,0.000582
950,0.813644,0.814219,0.000576,3.710569,3.711144,0.000576
960,0.813650,0.814219,0.000570,3.710575,3.711144,0.000570
970,0.813656,0.814219,0.000564,3.710581,3.711144,0.000564
980,0.813661,0.814219,0.000558,3.710586,3.711144,0.000558
990,0.813667,0.814219,0.000552,3.710592,3.711144,0.000552
1000,0.813673,0.814219,0.000547,3.710598,3.711144,0.000547
1010,0.813678,0.814219,0.000541,3.710603,3.711144,0.000541
1020,0.813683,0.814219,0.000536,3.710608,3.711144,0.000536
1030,0.813689,0.814219,0.000531,3.710613,3.711144,0.000531
1040,0.813694,0.814219,0.000526,3.710619,3.711144,0.000526
1050,0.813699,0.814219,0.000521,3.710624,3.711144,0.000521
1060,0.813704,0.814219,0.000516,3.710628,3.711144,0.000516
1070,0.813708,0.814219,0.000511,3.710633,3.711144,0.000511
1080,0.813713,0.814219,0.000506,3.710638,3.711144,0.000506
